data_origin,image_number,predicted_distribution
Original Data,600,0.7804117202758789
Original Data,601,0.6774355173110962
Original Data,602,0.9482676386833191
Original Data,603,0.1671706587076187
Original Data,604,0.849147379398346
Original Data,605,0.8197898864746094
Original Data,606,0.9279706478118896
Original Data,607,0.8603338003158569
Original Data,608,0.8540370464324951
Original Data,609,0.8540765047073364
Original Data,610,0.9353352785110474
Original Data,611,0.8594341278076172
Original Data,612,0.8044541478157043
Original Data,613,0.542557418346405
Original Data,614,0.7594502568244934
Original Data,615,0.9444665312767029
Original Data,616,0.8659866452217102
Original Data,617,0.6522443890571594
Original Data,618,0.8789572715759277
Original Data,619,0.649412214756012
Original Data,620,0.8010104894638062
Original Data,621,0.8058242797851562
Original Data,622,0.9282302260398865
Original Data,623,0.7534900307655334
Original Data,624,0.822948694229126
Original Data,625,0.847929060459137
Original Data,626,0.8477718830108643
Original Data,627,0.5115466713905334
Original Data,628,0.9340212345123291
Original Data,629,0.8776983618736267
Original Data,630,0.6203382015228271
Original Data,631,0.9053031802177429
Original Data,632,0.7790846824645996
Original Data,633,0.7203947305679321
Original Data,634,0.5684680342674255
Original Data,635,0.5805466175079346
Original Data,636,0.9160313010215759
Original Data,637,0.7560319304466248
Original Data,638,0.48852992057800293
Original Data,639,0.48794102668762207
Original Data,640,0.7789760828018188
Original Data,641,0.7963648438453674
Original Data,642,0.851710319519043
Original Data,643,0.5656447410583496
Original Data,644,0.5122774243354797
Original Data,645,0.6294785737991333
Original Data,646,0.7771552205085754
Original Data,647,0.5769051909446716
Original Data,648,0.8437644243240356
Original Data,649,0.5796913504600525
Original Data,650,0.799994945526123
Original Data,651,0.7836061716079712
Original Data,652,0.8202998042106628
Original Data,653,0.6156343817710876
Original Data,654,0.6228736639022827
Original Data,655,0.8153407573699951
Original Data,656,0.8040437698364258
Original Data,657,0.5876920223236084
Original Data,658,0.8213825821876526
Original Data,659,0.72796231508255
Original Data,660,0.8730173707008362
Original Data,661,0.8304903507232666
Original Data,662,0.9482242465019226
Original Data,663,0.7938298583030701
Original Data,664,0.6699802279472351
Original Data,665,0.9426087737083435
Original Data,666,0.9435467720031738
Original Data,667,0.7991447448730469
Original Data,668,0.7550718188285828
Original Data,669,0.7425457835197449
Original Data,670,0.8928723335266113
Original Data,671,0.6967077255249023
Original Data,672,0.6561233997344971
Original Data,673,0.7367485165596008
Original Data,674,0.5305539965629578
Original Data,675,0.9331264495849609
Original Data,676,0.6694461107254028
Original Data,677,0.8217244148254395
Original Data,678,0.4873092770576477
Original Data,679,0.742950975894928
Original Data,680,0.9027588963508606
Original Data,681,0.8932405710220337
Original Data,682,0.8040745258331299
Original Data,683,0.9544897675514221
Original Data,684,0.8059882521629333
Original Data,685,0.5341880917549133
Original Data,686,0.7576698064804077
Original Data,687,0.6506912112236023
Original Data,688,0.5470677018165588
Original Data,689,0.8806809782981873
Original Data,690,0.9345157742500305
Original Data,691,0.4829476773738861
Original Data,692,0.8758073449134827
Original Data,693,0.7433584332466125
Original Data,694,0.8635580539703369
Original Data,695,0.7965272665023804
Original Data,696,0.8015148639678955
Original Data,697,0.48818546533584595
Original Data,698,0.9565414190292358
Original Data,699,0.6168657541275024
Original Data,700,0.8069887161254883
Original Data,701,0.8685735464096069
Original Data,702,0.8399454355239868
Original Data,703,0.8177749514579773
Original Data,704,0.5312199592590332
Original Data,705,0.6770384907722473
Original Data,706,0.8086661696434021
Original Data,707,0.5245103240013123
Original Data,708,0.9072184562683105
Original Data,709,0.6208894848823547
Original Data,710,0.5968518257141113
Original Data,711,0.7159247994422913
Original Data,712,0.7656148672103882
Original Data,713,0.9195420742034912
Original Data,714,0.950530469417572
Original Data,715,0.8866885900497437
Original Data,716,0.7817285656929016
Original Data,717,0.7803084850311279
Original Data,718,0.9381232261657715
Original Data,719,0.6576100587844849
Original Data,720,0.7623030543327332
Original Data,721,0.9190906882286072
Original Data,722,0.7951767444610596
Original Data,723,0.855100154876709
Original Data,724,0.9627557992935181
Original Data,725,0.8140859603881836
Original Data,726,0.8492720127105713
Original Data,727,0.7737187743186951
Original Data,728,0.43071019649505615
Original Data,729,0.6347566246986389
Original Data,730,0.38050377368927
Original Data,731,0.8723600506782532
Original Data,732,0.8756533265113831
Original Data,733,0.799225926399231
Original Data,734,0.42184945940971375
Original Data,735,0.9026623964309692
Original Data,736,0.8599109053611755
Original Data,737,0.3478811979293823
Original Data,738,0.6741885542869568
Original Data,739,0.5453307628631592
Original Data,740,0.5863540172576904
Original Data,741,0.9142275452613831
Original Data,742,0.889328122138977
Original Data,743,0.8763502836227417
Original Data,744,0.8629994988441467
Original Data,745,0.7106414437294006
Original Data,746,0.7746545672416687
Original Data,747,0.896954357624054
Original Data,748,0.7493942379951477
Original Data,749,0.4498971700668335
Original Data,750,0.6456482410430908
Original Data,751,0.7964624762535095
Original Data,752,0.8841923475265503
Original Data,753,0.5971397161483765
Original Data,754,0.6663030982017517
Original Data,755,0.9510452151298523
Original Data,756,0.5335240364074707
Original Data,757,0.5071105360984802
Original Data,758,0.5405921936035156
Original Data,759,0.73310387134552
Original Data,760,0.7895449995994568
Original Data,761,0.9341109991073608
Original Data,762,0.7052889466285706
Original Data,763,0.7816452980041504
Original Data,764,0.725565493106842
Original Data,765,0.757399320602417
Original Data,766,0.6651602983474731
Original Data,767,0.7392951846122742
Original Data,768,0.95987468957901
Original Data,769,0.8843634128570557
Original Data,770,0.7581427097320557
Original Data,771,0.9576274752616882
Original Data,772,0.7422491908073425
Original Data,773,0.7952553629875183
Original Data,774,0.8608936667442322
Original Data,775,0.7506406903266907
Original Data,776,0.7995200753211975
Original Data,777,0.8447920680046082
Original Data,778,0.4716176390647888
Original Data,779,0.5624591708183289
Original Data,780,0.9097548127174377
Original Data,781,0.6847154498100281
Original Data,782,0.8139928579330444
Original Data,783,0.5906071066856384
Original Data,784,0.9237070083618164
Original Data,785,0.6244946718215942
Original Data,786,0.8156681656837463
Original Data,787,0.9483110904693604
Original Data,788,0.8861681818962097
Original Data,789,0.571444034576416
Original Data,790,0.6605274677276611
Original Data,791,0.8955667614936829
Original Data,792,0.8323627710342407
Original Data,793,0.9558171629905701
Original Data,794,0.47387054562568665
Original Data,795,0.6928616166114807
Original Data,796,0.7859204411506653
Original Data,797,0.945153534412384
Original Data,798,0.8819941878318787
Original Data,799,0.6804425120353699
Original Data,800,0.8542038202285767
Original Data,801,0.5300025343894958
Original Data,802,0.9522176384925842
Original Data,803,0.905604362487793
Original Data,804,0.806560218334198
Original Data,805,0.8358137011528015
Original Data,806,0.630397617816925
Original Data,807,0.5364218354225159
Original Data,808,0.6964368224143982
Original Data,809,0.7963590621948242
Original Data,810,0.6013649702072144
Original Data,811,0.8235318064689636
Original Data,812,0.49894455075263977
Original Data,813,0.5491400361061096
Original Data,814,0.783045768737793
Original Data,815,0.6354417204856873
Original Data,816,0.9218276143074036
Original Data,817,0.786811351776123
Original Data,818,0.5778380632400513
Original Data,819,0.7431001663208008
Original Data,820,0.7674044966697693
Original Data,821,0.9097782969474792
Original Data,822,0.8512423038482666
Original Data,823,0.9443832635879517
Original Data,824,0.7324931025505066
Original Data,825,0.8696624040603638
Original Data,826,0.6711148619651794
Original Data,827,0.7076869010925293
Original Data,828,0.7553444504737854
Original Data,829,0.8510904312133789
Original Data,830,0.7126823663711548
Original Data,831,0.9191328883171082
Original Data,832,0.8837684988975525
Original Data,833,0.8995047807693481
Original Data,834,0.8462285995483398
Original Data,835,0.5017905831336975
Original Data,836,0.5913305878639221
Original Data,837,0.8248879313468933
Original Data,838,0.7360579371452332
Original Data,839,0.6239172220230103
Original Data,840,0.5947030782699585
Original Data,841,0.8392956256866455
Original Data,842,0.8563404083251953
Original Data,843,0.829683244228363
Original Data,844,0.8396499752998352
Original Data,845,0.4216367304325104
Original Data,846,0.8884629607200623
Original Data,847,0.6891850829124451
Original Data,848,0.5572168231010437
Original Data,849,0.5658445358276367
Original Data,850,0.8619601130485535
Original Data,851,0.8526588082313538
Original Data,852,0.9304405450820923
Original Data,853,0.7243649959564209
Original Data,854,0.7617000341415405
Original Data,855,0.7207226157188416
Original Data,856,0.45589151978492737
Original Data,857,0.8712211847305298
Original Data,858,0.9421050548553467
Original Data,859,0.5828955769538879
Original Data,860,0.6292212605476379
Original Data,861,0.7818700671195984
Original Data,862,0.7714709639549255
Original Data,863,0.9472494125366211
Original Data,864,0.667335569858551
Original Data,865,0.6270197629928589
Original Data,866,0.4578481614589691
Original Data,867,0.48245769739151
Original Data,868,0.7778022289276123
Original Data,869,0.8990108966827393
Original Data,870,0.37866559624671936
Original Data,871,0.7946173548698425
Original Data,872,0.8461666703224182
Original Data,873,0.8000795841217041
Original Data,874,0.7070958018302917
Original Data,875,0.8851421475410461
Original Data,876,0.8451760411262512
